,,,,,,,
,Date,2020-08-29,,,,,
,File,E2-A High-Speed Flash,,,,,
,Rev,1,,,,,
,,,,,,,
,,,,,,,
Notes,,,,,,,
,,"Digikey is my preferred vendor (Good prices, cheapest shipping, ships from Winnipeg) but Mouser and others are good as well.  Same with eBay/Alibaba/Bangood.",,,,,
,,"Most components from eBay could be purchased from Digikey, just an increase in cost (but faster shipping!)",,,,,
,,DO NOT purchase LED’s from eBay/Alibaba.  Testing has shown that LED’s from untrustworthy vendors are a lower quality.,,,,,
,,The EMCB1 and ECC0 board components will come pre-installed on the boards if purchased from td0g.,,,,,
,,,,,,,
Part#,Ref,Manufacturer Model,Description,Qty,Suggested Vendor,Vendor Part #,Link
,,,,,,,
1,"LED_D1, LED_D2, LED_D3, LED_D4",CREE CXA2530-0000-U20E3,LED,12,Digikey,CXA2530-0000-000N00U20E3-ND ,https://www.digikey.ca/product-detail/en/cree-inc/CXA2530-0000-000N00U20E3/CXA2530-0000-000N00U20E3-ND/3647354 
2,LED_C1,Vishay MKP1848S,10uf Film Capacitor,4,Digikey,BC2783-ND ,https://www.digikey.ca/product-detail/en/vishay-bc-components/MKP1848S61070JP2C/BC2783-ND/3053104 
3,LED_Q1,IRFB4332PBF , N-Channel MOSFET,4, Digikey,IRFB4332PBF-ND ,https://www.digikey.ca/product-detail/en/infineon-technologies/IPP60R190P6XKSA1/IPP60R190P6XKSA1-ND/4248888 
4,LED_FB1,28L0138-40R-10,135R @ 10MHz FB,4,Digikey,240-2439-1-ND,https://www.digikey.in/product-detail/en/murata-electronics/NFZ2MSD900SN10L/490-NFZ2MSD900SN10LCT-ND/11690521
5,LED_C2,CC0805KRX7RABB471,470pF 200V Cap – Snubber Circuit,4,Digikey,311-1478-2-ND,
6,LED_R5,10K 1/8W Res 0805,Snubber Circuit Resistor,4,Digikey,,
7,LED_R6,RNF14FTD6R81 ,Gate Resistor – 6.81R 1/4W,4,Digikey,RNF14FTD6R81TR-ND,
8,"LED_R1, LED_R2, LED_R3, LED_R4",NKN200JT-73-0R47 ,0R47 2W Zero-Inductance LED Series Resistor,4,Digikey,0.47CECT-ND ,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RNF14FTD2R00/RNF14FTD2R00CT-ND/1974961 
9,,S7V7F5,Step Up/Down Regulator,1,BuyAPi,700,https://www.buyapi.ca/product/pololu-5v-step-upstep-down-voltage-regulator-s7v7f5/
10,,128x64 OLED,OLED Display,1,Amazon.ca,,https://www.ebay.ca/itm/4-Bits-TM1637-Digital-Tube-LED-Clock-Display-Module-For-Arduino-Due-UNO-2560-R3/310788450125?hash=item485c6f674d:g:pgoAAOSwkl5XdgPs 
11,,EC11 Rotary Encoder,Mechanical Encoder,1,eBay,,https://www.ebay.ca/itm/Rotary-encoder-with-switch-EC11-Audio-digital-potentiometer-20mm-handle-CA/142486141701?hash=item212cd5fb05:g:2DwAAOSwqhBZn7M2 
